Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
AI DogeMini USD,AIDOGEMINI-USD,2023-02-08,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,9.999999974752427e-07,556569
AI DogeMini USD,AIDOGEMINI-USD,2023-02-09,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,9.999999974752427e-07,300586
AI DogeMini USD,AIDOGEMINI-USD,2023-02-10,9.999999974752427e-07,9.999999974752427e-07,0.0,0.0,0.0,183594
AI DogeMini USD,AIDOGEMINI-USD,2023-02-11,0.0,0.0,0.0,0.0,0.0,180354
AI DogeMini USD,AIDOGEMINI-USD,2023-02-12,0.0,0.0,0.0,0.0,0.0,140449
AI DogeMini USD,AIDOGEMINI-USD,2023-02-13,0.0,0.0,0.0,0.0,0.0,72008
AI DogeMini USD,AIDOGEMINI-USD,2023-02-14,0.0,0.0,0.0,0.0,0.0,60226
AI DogeMini USD,AIDOGEMINI-USD,2023-02-15,0.0,0.0,0.0,0.0,0.0,36041
AI DogeMini USD,AIDOGEMINI-USD,2023-02-16,0.0,0.0,0.0,0.0,0.0,38226
AI DogeMini USD,AIDOGEMINI-USD,2023-02-17,0.0,0.0,0.0,0.0,0.0,18260
AI DogeMini USD,AIDOGEMINI-USD,2023-02-18,0.0,0.0,0.0,0.0,0.0,37194
AI DogeMini USD,AIDOGEMINI-USD,2023-02-19,0.0,0.0,0.0,0.0,0.0,10971
AI DogeMini USD,AIDOGEMINI-USD,2023-02-20,0.0,0.0,0.0,0.0,0.0,13988
AI DogeMini USD,AIDOGEMINI-USD,2023-02-21,0.0,0.0,0.0,0.0,0.0,8467
AI DogeMini USD,AIDOGEMINI-USD,2023-02-22,0.0,0.0,0.0,0.0,0.0,12863
AI DogeMini USD,AIDOGEMINI-USD,2023-02-23,0.0,0.0,0.0,0.0,0.0,6415
AI DogeMini USD,AIDOGEMINI-USD,2023-02-24,0.0,0.0,0.0,0.0,0.0,5539
AI DogeMini USD,AIDOGEMINI-USD,2023-02-25,0.0,0.0,0.0,0.0,0.0,76145
AI DogeMini USD,AIDOGEMINI-USD,2023-02-26,0.0,0.0,0.0,0.0,0.0,7865
AI DogeMini USD,AIDOGEMINI-USD,2023-02-27,0.0,0.0,0.0,0.0,0.0,15702
AI DogeMini USD,AIDOGEMINI-USD,2023-02-28,0.0,0.0,0.0,0.0,0.0,7514
AI DogeMini USD,AIDOGEMINI-USD,2023-03-01,0.0,0.0,0.0,0.0,0.0,5826
AI DogeMini USD,AIDOGEMINI-USD,2023-03-02,0.0,0.0,0.0,0.0,0.0,15948
AI DogeMini USD,AIDOGEMINI-USD,2023-03-03,0.0,0.0,0.0,0.0,0.0,9597
AI DogeMini USD,AIDOGEMINI-USD,2023-03-04,0.0,0.0,0.0,0.0,0.0,14029
AI DogeMini USD,AIDOGEMINI-USD,2023-03-05,0.0,0.0,0.0,0.0,0.0,20527
AI DogeMini USD,AIDOGEMINI-USD,2023-03-06,0.0,0.0,0.0,0.0,0.0,4361
AI DogeMini USD,AIDOGEMINI-USD,2023-03-07,0.0,0.0,0.0,0.0,0.0,15224
AI DogeMini USD,AIDOGEMINI-USD,2023-03-08,0.0,0.0,0.0,0.0,0.0,9211
AI DogeMini USD,AIDOGEMINI-USD,2023-03-09,0.0,0.0,0.0,0.0,0.0,9380
AI DogeMini USD,AIDOGEMINI-USD,2023-03-10,0.0,0.0,0.0,0.0,0.0,1310
AI DogeMini USD,AIDOGEMINI-USD,2023-03-11,0.0,0.0,0.0,0.0,0.0,1708
AI DogeMini USD,AIDOGEMINI-USD,2023-03-12,0.0,0.0,0.0,0.0,0.0,487
AI DogeMini USD,AIDOGEMINI-USD,2023-03-13,0.0,0.0,0.0,0.0,0.0,2008
AI DogeMini USD,AIDOGEMINI-USD,2023-03-14,0.0,0.0,0.0,0.0,0.0,639
AI DogeMini USD,AIDOGEMINI-USD,2023-03-15,0.0,0.0,0.0,0.0,0.0,231
AI DogeMini USD,AIDOGEMINI-USD,2023-03-16,0.0,0.0,0.0,0.0,0.0,530
AI DogeMini USD,AIDOGEMINI-USD,2023-03-17,0.0,0.0,0.0,0.0,0.0,495
AI DogeMini USD,AIDOGEMINI-USD,2023-03-18,0.0,0.0,0.0,0.0,0.0,680
AI DogeMini USD,AIDOGEMINI-USD,2023-03-19,0.0,0.0,0.0,0.0,0.0,207
