Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Crypto Inu USD,ABCD-USD,2022-02-07,0.0,0.0,0.0,0.0,0.0,825102
Crypto Inu USD,ABCD-USD,2022-02-08,0.0,0.0,0.0,0.0,0.0,919202
Crypto Inu USD,ABCD-USD,2022-02-09,0.0,0.0,0.0,0.0,0.0,502778
Crypto Inu USD,ABCD-USD,2022-02-10,0.0,0.0,0.0,0.0,0.0,1167400
Crypto Inu USD,ABCD-USD,2022-02-11,0.0,0.0,0.0,0.0,0.0,2425863
Crypto Inu USD,ABCD-USD,2022-02-12,0.0,0.0,0.0,0.0,0.0,2305041
Crypto Inu USD,ABCD-USD,2022-02-13,0.0,0.0,0.0,0.0,0.0,1114531
Crypto Inu USD,ABCD-USD,2022-02-14,0.0,0.0,0.0,0.0,0.0,720594
Crypto Inu USD,ABCD-USD,2022-02-15,0.0,0.0,0.0,0.0,0.0,1364532
Crypto Inu USD,ABCD-USD,2022-02-16,0.0,0.0,0.0,0.0,0.0,1172114
Crypto Inu USD,ABCD-USD,2022-02-17,0.0,0.0,0.0,0.0,0.0,652598
Crypto Inu USD,ABCD-USD,2022-02-18,0.0,0.0,0.0,0.0,0.0,798303
Crypto Inu USD,ABCD-USD,2022-02-19,0.0,0.0,0.0,0.0,0.0,692211
Crypto Inu USD,ABCD-USD,2022-02-20,0.0,0.0,0.0,0.0,0.0,305560
Crypto Inu USD,ABCD-USD,2022-02-21,0.0,0.0,0.0,0.0,0.0,206146
Crypto Inu USD,ABCD-USD,2022-02-22,0.0,0.0,0.0,0.0,0.0,226343
Crypto Inu USD,ABCD-USD,2022-02-23,0.0,0.0,0.0,0.0,0.0,442541
Crypto Inu USD,ABCD-USD,2022-02-24,0.0,0.0,0.0,0.0,0.0,464083
Crypto Inu USD,ABCD-USD,2022-02-25,0.0,0.0,0.0,0.0,0.0,347926
Crypto Inu USD,ABCD-USD,2022-02-26,0.0,0.0,0.0,0.0,0.0,492437
Crypto Inu USD,ABCD-USD,2022-02-27,0.0,0.0,0.0,0.0,0.0,341730
Crypto Inu USD,ABCD-USD,2022-02-28,0.0,0.0,0.0,0.0,0.0,296142
Crypto Inu USD,ABCD-USD,2022-03-01,0.0,0.0,0.0,0.0,0.0,286015
Crypto Inu USD,ABCD-USD,2022-03-02,0.0,0.0,0.0,0.0,0.0,383239
Crypto Inu USD,ABCD-USD,2022-03-03,0.0,0.0,0.0,0.0,0.0,321133
Crypto Inu USD,ABCD-USD,2022-03-04,0.0,0.0,0.0,0.0,0.0,240145
Crypto Inu USD,ABCD-USD,2022-03-05,0.0,0.0,0.0,0.0,0.0,203840
Crypto Inu USD,ABCD-USD,2022-03-06,0.0,0.0,0.0,0.0,0.0,210742
Crypto Inu USD,ABCD-USD,2022-03-07,0.0,0.0,0.0,0.0,0.0,314352
Crypto Inu USD,ABCD-USD,2022-03-08,0.0,0.0,0.0,0.0,0.0,202789
Crypto Inu USD,ABCD-USD,2022-03-09,0.0,0.0,0.0,0.0,0.0,164220
Crypto Inu USD,ABCD-USD,2022-03-10,0.0,0.0,0.0,0.0,0.0,150389
Crypto Inu USD,ABCD-USD,2022-03-11,0.0,0.0,0.0,0.0,0.0,154111
Crypto Inu USD,ABCD-USD,2022-03-12,0.0,0.0,0.0,0.0,0.0,140110
Crypto Inu USD,ABCD-USD,2022-03-13,0.0,0.0,0.0,0.0,0.0,153217
Crypto Inu USD,ABCD-USD,2022-03-14,0.0,0.0,0.0,0.0,0.0,207712
Crypto Inu USD,ABCD-USD,2022-03-15,0.0,0.0,0.0,0.0,0.0,259185
Crypto Inu USD,ABCD-USD,2022-03-16,0.0,0.0,0.0,0.0,0.0,308919
Crypto Inu USD,ABCD-USD,2022-03-17,0.0,0.0,0.0,0.0,0.0,245139
Crypto Inu USD,ABCD-USD,2022-03-18,0.0,0.0,0.0,0.0,0.0,199634
Crypto Inu USD,ABCD-USD,2022-03-19,0.0,0.0,0.0,0.0,0.0,177785
Crypto Inu USD,ABCD-USD,2022-03-20,0.0,0.0,0.0,0.0,0.0,222157
Crypto Inu USD,ABCD-USD,2022-03-21,0.0,0.0,0.0,0.0,0.0,187093
Crypto Inu USD,ABCD-USD,2022-03-22,0.0,0.0,0.0,0.0,0.0,165636
Crypto Inu USD,ABCD-USD,2022-03-23,0.0,0.0,0.0,0.0,0.0,178704
Crypto Inu USD,ABCD-USD,2022-03-24,0.0,0.0,0.0,0.0,0.0,187491
Crypto Inu USD,ABCD-USD,2022-03-25,0.0,0.0,0.0,0.0,0.0,140113
Crypto Inu USD,ABCD-USD,2022-03-26,0.0,0.0,0.0,0.0,0.0,143655
Crypto Inu USD,ABCD-USD,2022-03-27,0.0,0.0,0.0,0.0,0.0,100673
Crypto Inu USD,ABCD-USD,2022-03-28,0.0,0.0,0.0,0.0,0.0,97141
Crypto Inu USD,ABCD-USD,2022-03-29,0.0,0.0,0.0,0.0,0.0,133963
Crypto Inu USD,ABCD-USD,2022-03-30,0.0,0.0,0.0,0.0,0.0,146719
Crypto Inu USD,ABCD-USD,2022-03-31,0.0,0.0,0.0,0.0,0.0,106032
Crypto Inu USD,ABCD-USD,2022-04-01,0.0,0.0,0.0,0.0,0.0,174373
Crypto Inu USD,ABCD-USD,2022-04-02,0.0,0.0,0.0,0.0,0.0,180307
Crypto Inu USD,ABCD-USD,2022-04-03,0.0,0.0,0.0,0.0,0.0,152803
Crypto Inu USD,ABCD-USD,2022-04-04,0.0,0.0,0.0,0.0,0.0,142245
Crypto Inu USD,ABCD-USD,2022-04-05,0.0,0.0,0.0,0.0,0.0,124975
Crypto Inu USD,ABCD-USD,2022-04-06,0.0,0.0,0.0,0.0,0.0,87226
Crypto Inu USD,ABCD-USD,2022-04-07,0.0,0.0,0.0,0.0,0.0,106696
Crypto Inu USD,ABCD-USD,2022-04-08,0.0,0.0,0.0,0.0,0.0,121011
Crypto Inu USD,ABCD-USD,2022-04-09,0.0,0.0,0.0,0.0,0.0,84127
Crypto Inu USD,ABCD-USD,2022-04-10,0.0,0.0,0.0,0.0,0.0,111968
Crypto Inu USD,ABCD-USD,2022-04-11,0.0,0.0,0.0,0.0,0.0,92359
Crypto Inu USD,ABCD-USD,2022-04-12,0.0,0.0,0.0,0.0,0.0,99396
Crypto Inu USD,ABCD-USD,2022-04-13,0.0,0.0,0.0,0.0,0.0,136016
Crypto Inu USD,ABCD-USD,2022-04-14,0.0,0.0,0.0,0.0,0.0,146707
Crypto Inu USD,ABCD-USD,2022-04-15,0.0,0.0,0.0,0.0,0.0,168535
Crypto Inu USD,ABCD-USD,2022-04-16,0.0,0.0,0.0,0.0,0.0,169474
Crypto Inu USD,ABCD-USD,2022-04-17,0.0,0.0,0.0,0.0,0.0,178087
Crypto Inu USD,ABCD-USD,2022-04-18,0.0,0.0,0.0,0.0,0.0,162342
Crypto Inu USD,ABCD-USD,2022-04-19,0.0,0.0,0.0,0.0,0.0,168818
Crypto Inu USD,ABCD-USD,2022-04-20,0.0,0.0,0.0,0.0,0.0,179475
Crypto Inu USD,ABCD-USD,2022-04-21,0.0,0.0,0.0,0.0,0.0,129000
Crypto Inu USD,ABCD-USD,2022-04-22,0.0,0.0,0.0,0.0,0.0,145595
Crypto Inu USD,ABCD-USD,2022-04-23,0.0,0.0,0.0,0.0,0.0,145131
Crypto Inu USD,ABCD-USD,2022-04-24,0.0,0.0,0.0,0.0,0.0,185089
Crypto Inu USD,ABCD-USD,2022-04-25,0.0,0.0,0.0,0.0,0.0,188544
Crypto Inu USD,ABCD-USD,2022-04-26,0.0,0.0,0.0,0.0,0.0,2893210
Crypto Inu USD,ABCD-USD,2022-04-27,0.0,0.0,0.0,0.0,0.0,2300116
Crypto Inu USD,ABCD-USD,2022-04-28,0.0,0.0,0.0,0.0,0.0,1172342
Crypto Inu USD,ABCD-USD,2022-04-29,0.0,0.0,0.0,0.0,0.0,393925
Crypto Inu USD,ABCD-USD,2022-04-30,0.0,0.0,0.0,0.0,0.0,236278
