Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Angel Dust USD,AD21939-USD,2022-11-02,5.199999941396527e-05,6.399999983841553e-05,5.199999941396527e-05,5.600000076810829e-05,5.600000076810829e-05,226856
Angel Dust USD,AD21939-USD,2022-11-03,5.600000076810829e-05,5.999999848427251e-05,4.8000001697801054e-05,4.8999998398358e-05,4.8999998398358e-05,106157
Angel Dust USD,AD21939-USD,2022-11-04,4.8999998398358e-05,5.500000042957254e-05,4.5000000682193786e-05,5.199999941396527e-05,5.199999941396527e-05,89819
Angel Dust USD,AD21939-USD,2022-11-05,5.199999941396527e-05,5.299999975250103e-05,3.9999998989515007e-05,4.3000000005122274e-05,4.3000000005122274e-05,116762
Angel Dust USD,AD21939-USD,2022-11-06,4.3000000005122274e-05,4.3000000005122274e-05,3.5000000934815034e-05,3.5000000934815034e-05,3.5000000934815034e-05,69789
Angel Dust USD,AD21939-USD,2022-11-07,3.5000000934815034e-05,4.999999873689376e-05,3.400000059627928e-05,4.099999932805076e-05,4.099999932805076e-05,991678
Angel Dust USD,AD21939-USD,2022-11-08,4.099999932805076e-05,5.099999907542952e-05,3.199999991920777e-05,3.600000127335079e-05,3.600000127335079e-05,1630115
Angel Dust USD,AD21939-USD,2022-11-09,3.600000127335079e-05,3.600000127335079e-05,2.300000051036477e-05,2.4000000848900527e-05,2.4000000848900527e-05,781261
Angel Dust USD,AD21939-USD,2022-11-10,2.4000000848900527e-05,3.099999958067201e-05,2.300000051036477e-05,3.099999958067201e-05,3.099999958067201e-05,183430
Angel Dust USD,AD21939-USD,2022-11-11,3.099999958067201e-05,3.099999958067201e-05,2.8000000384054147e-05,2.9000000722589903e-05,2.9000000722589903e-05,153870
Angel Dust USD,AD21939-USD,2022-11-12,2.9000000722589903e-05,3.400000059627928e-05,2.499999936844688e-05,2.5999999706982635e-05,2.5999999706982635e-05,202676
Angel Dust USD,AD21939-USD,2022-11-13,2.5999999706982635e-05,2.5999999706982635e-05,2.200000017182901e-05,2.200000017182901e-05,2.200000017182901e-05,184878
Angel Dust USD,AD21939-USD,2022-11-14,2.200000017182901e-05,2.300000051036477e-05,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,132672
