Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Artificial Intelligence USD,AI14838-USD,2021-11-20,1.8999999156221747e-05,8.099999831756577e-05,1.8000000636675395e-05,4.70000013592653e-05,4.70000013592653e-05,7980123
Artificial Intelligence USD,AI14838-USD,2021-11-21,4.70000013592653e-05,4.70000013592653e-05,1.8999999156221747e-05,2.200000017182901e-05,2.200000017182901e-05,7643643
Artificial Intelligence USD,AI14838-USD,2021-11-22,2.200000017182901e-05,2.200000017182901e-05,1.2000000424450263e-05,1.5999999959603883e-05,1.5999999959603883e-05,1585320
Artificial Intelligence USD,AI14838-USD,2021-11-23,1.5999999959603883e-05,1.8999999156221747e-05,1.4000000192027072e-05,1.8000000636675395e-05,1.8000000636675395e-05,689319
Artificial Intelligence USD,AI14838-USD,2021-11-24,1.8000000636675395e-05,1.9999999494757503e-05,1.700000029813964e-05,1.8000000636675395e-05,1.8000000636675395e-05,272272
Artificial Intelligence USD,AI14838-USD,2021-11-25,1.8000000636675395e-05,1.8999999156221747e-05,1.4999999621068127e-05,1.8999999156221747e-05,1.8999999156221747e-05,181390
Artificial Intelligence USD,AI14838-USD,2021-11-26,1.4999999621068127e-05,1.5999999959603883e-05,1.2999999853491316e-05,1.2999999853491316e-05,1.2999999853491316e-05,142575
Artificial Intelligence USD,AI14838-USD,2021-11-27,1.2999999853491316e-05,1.4000000192027072e-05,1.2999999853491316e-05,1.2999999853491316e-05,1.2999999853491316e-05,61340
Artificial Intelligence USD,AI14838-USD,2021-11-28,1.2999999853491316e-05,1.2999999853491316e-05,1.1000000085914508e-05,1.2000000424450263e-05,1.2000000424450263e-05,61232
Artificial Intelligence USD,AI14838-USD,2021-11-29,1.2000000424450263e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.4999999621068127e-05,1.4999999621068127e-05,86690
Artificial Intelligence USD,AI14838-USD,2021-11-30,1.4999999621068127e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,95470
