Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
AI Floki USD,AIFLOKI-USD,2023-03-02,0.0,0.0,0.0,0.0,0.0,97207
AI Floki USD,AIFLOKI-USD,2023-03-03,0.0,0.0,0.0,0.0,0.0,23622
AI Floki USD,AIFLOKI-USD,2023-03-04,0.0,0.0,0.0,0.0,0.0,12867
AI Floki USD,AIFLOKI-USD,2023-03-05,0.0,0.0,0.0,0.0,0.0,15352
AI Floki USD,AIFLOKI-USD,2023-03-06,0.0,0.0,0.0,0.0,0.0,16044
AI Floki USD,AIFLOKI-USD,2023-03-07,0.0,0.0,0.0,0.0,0.0,9866
AI Floki USD,AIFLOKI-USD,2023-03-08,0.0,0.0,0.0,0.0,0.0,5476
AI Floki USD,AIFLOKI-USD,2023-03-09,0.0,0.0,0.0,0.0,0.0,12512
AI Floki USD,AIFLOKI-USD,2023-03-10,0.0,0.0,0.0,0.0,0.0,4788
AI Floki USD,AIFLOKI-USD,2023-03-11,0.0,0.0,0.0,0.0,0.0,4108
AI Floki USD,AIFLOKI-USD,2023-03-12,0.0,0.0,0.0,0.0,0.0,4563
AI Floki USD,AIFLOKI-USD,2023-03-13,0.0,0.0,0.0,0.0,0.0,3748
AI Floki USD,AIFLOKI-USD,2023-03-14,0.0,0.0,0.0,0.0,0.0,3363
AI Floki USD,AIFLOKI-USD,2023-03-15,0.0,0.0,0.0,0.0,0.0,2768
AI Floki USD,AIFLOKI-USD,2023-03-16,0.0,0.0,0.0,0.0,0.0,2814
AI Floki USD,AIFLOKI-USD,2023-03-17,0.0,0.0,0.0,0.0,0.0,1280
AI Floki USD,AIFLOKI-USD,2023-03-18,0.0,0.0,0.0,0.0,0.0,460
AI Floki USD,AIFLOKI-USD,2023-03-19,0.0,0.0,0.0,0.0,0.0,163
AI Floki USD,AIFLOKI-USD,2023-03-20,0.0,0.0,0.0,0.0,0.0,42
AI Floki USD,AIFLOKI-USD,2023-03-21,0.0,0.0,0.0,0.0,0.0,106
AI Floki USD,AIFLOKI-USD,2023-03-22,0.0,0.0,0.0,0.0,0.0,331
