Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Artificial Intelligence Technology Network USD,AITN-USD,2022-07-05,33.9156608581543,34.70132827758789,33.552879333496094,34.53439712524414,34.53439712524414,3445
Artificial Intelligence Technology Network USD,AITN-USD,2022-07-06,34.4775390625,34.93873596191406,33.80406951904297,34.90300369262695,34.90300369262695,6358870
Artificial Intelligence Technology Network USD,AITN-USD,2022-07-07,34.9026985168457,35.5114860534668,33.34721755981445,33.58544921875,33.58544921875,5205617
Artificial Intelligence Technology Network USD,AITN-USD,2022-07-08,33.58425521850586,34.16471481323242,32.332942962646484,32.49099349975586,32.49099349975586,4123743
Artificial Intelligence Technology Network USD,AITN-USD,2022-07-09,32.49112701416016,34.0121955871582,32.49112701416016,32.60353088378906,32.60353088378906,4451438
Artificial Intelligence Technology Network USD,AITN-USD,2022-07-10,32.603538513183594,33.767906188964844,32.46244430541992,32.84036636352539,32.84036636352539,4490920
Artificial Intelligence Technology Network USD,AITN-USD,2022-07-11,32.8400993347168,33.335750579833984,31.835561752319336,31.84841728210449,31.84841728210449,3825214
Artificial Intelligence Technology Network USD,AITN-USD,2022-07-12,31.8484115600586,33.01374435424805,31.82770156860352,32.470558166503906,32.470558166503906,3417270
Artificial Intelligence Technology Network USD,AITN-USD,2022-07-13,32.47053909301758,33.33267974853516,30.479785919189453,30.69353103637696,30.69353103637696,3500410
Artificial Intelligence Technology Network USD,AITN-USD,2022-07-14,30.69383811950684,32.99955368041992,30.461355209350582,31.26046371459961,31.26046371459961,3854577
Artificial Intelligence Technology Network USD,AITN-USD,2022-07-15,31.2597599029541,34.87538146972656,31.22375869750977,32.633544921875,32.633544921875,3827447
Artificial Intelligence Technology Network USD,AITN-USD,2022-07-16,32.63339614868164,33.03363037109375,31.671045303344727,31.931848526000977,31.931848526000977,2809105
Artificial Intelligence Technology Network USD,AITN-USD,2022-07-17,31.93199348449707,32.28839874267578,31.571399688720703,31.880998611450195,31.880998611450195,2139057
Artificial Intelligence Technology Network USD,AITN-USD,2022-07-18,31.880756378173828,34.09126281738281,31.66517448425293,32.47544860839844,32.47544860839844,2545066
Artificial Intelligence Technology Network USD,AITN-USD,2022-07-19,32.47570037841797,33.279449462890625,31.15874671936035,32.59469985961914,32.59469985961914,2505443
